"TRE_CN","PREV_TRE_CN","PLT_CN","STATECD","SPCD","DIA","DIAHTCD","TREE_SIZE","TREECLCD","SUBPTYP","VOLCFSND","VOLCFNET","VOLCSNET","VOLBFNET","REGIONAL_DRYBIOT","REGIONAL_DRYBIOM","REGIONAL_DRYBIOSL","DRYBIO_BG","DRYBIO_AG","DRYBIO_WDLD_SPP","DRYBIO_SAPLING","DRYBIO_STUMP","DRYBIO_BOLE","DRYBIO_SAWLOG","DRYBIO_TOP","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"31292587020004","73961707010538","222444675010661",39,743,9.5,1,"SMALL",2,1,13.03466,12.24468,,,548.082032,486.016796,,9.6848687438549316449535741656071138061E01,4.97030431792605286599405284842898016474E02,,,2.0904718509904507128943061233059183829E01,361.91390436864,,1.14211808914060779470462223609838832645E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31292583020004","73961699010538","222444675010661",39,316,5.6,1,"SMALL",2,1,1.88821,1.811919,,,149.105434,132.220618,,2.00463497963243716569429370463507764123E01,1.0007451958544885682747184187069587176E02,,,5.60598064886798087469345608125098429472E00,63.8136430464,,3.0654895890180875952778385789444887465E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31283972020004","73967295010538","222444685010661",39,316,5,1,"SMALL",2,1,1.008782,0.968024,,,113.850486,100.957968,,1.12199525075240044447347517961288809118E01,5.55533461173086715767874881314785938506E01,,,3.24778345400214190445435303056717854695E00,34.09263506688,,1.82129275964265296723331351009114153037E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31283982020004","73967313010538","222444685010661",39,409,13.1,1,"LARGE",2,1,27.689743,24.892799,20.163167,98.420175,1595.401496,1432.943329,1.16068408555273125372522390913131142866E03,3.19292324396988054393199926870435108068E02,1.6562765966737553414631721089861002102E03,,,7.80297488054902150191408414320327876319E01,1271.6902129152,9.67563748591362534970899792685230174229E02,3.06556634953065126444031267554067422571E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31283990020004","73967329010538","222444685010661",39,544,6.4,1,"SMALL",2,1,3.752692,3.638974,,,204.897897,181.695099,,4.25180137259917288733112539347862763307E01,2.14066315092676834670643886491685333397E02,,,1.58103312036622125541629914626520600571E01,142.09313074944,,5.61628531395746221164808950290332733396E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31284194020004","73967821010538","222444687010661",39,762,13.5,1,"LARGE",2,1,32.194828,28.292425,22.916864,116.822637,1388.721635,1247.309475,1.01032066372841493792066250948796365105E03,2.64977974250278137287976287318256099512E02,1.37567670601105495481106282612519423031E03,,,6.63406733610504685378658126509661893203E01,1060.649078790912,7.54989301088255999954043190839540732338E02,2.4868695385909248627319701347422804099E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31284198020004","73967827010538","222444687010661",39,762,6.5,1,"SMALL",2,1,3.791841,3.600334,,,233.98644,207.489633,,3.71840489102188966743725290701059014656E01,1.87381767075935831572611669188383315981E02,,,1.29202118890886512810941228075987959637E01,124.921079360064,,4.95404758267831802915175463807845200171E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31284199020004","73967829010538","222444687010661",39,762,5.2,1,"SMALL",2,1,1.81285,1.721292,,,136.193015,120.770412,,1.93299760233750919223615705744069589949E01,9.59920143005908826240699903643025455992E01,,,7.38982337272706348425791744461133939192E00,59.7238066464,,2.88783842814638191398120729196912062072E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31284201020004","73967833010538","222444687010661",39,621,7.9,1,"SMALL",2,1,7.187259,7.042062,,,275.73901,244.51411,,5.89089610614087213695096473229218908403E01,2.99924470127381537901144808973796436415E02,,,1.51685385650641999991075086711896063499E01,210.07035601344,,7.46855755488773379020373003026068300654E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31287545020004","73979526010538","222443683010661",39,313,7.8,1,"SMALL",3,1,4.345391,3.539029,,,327.691507,290.583466,,3.53309956328996583283171165542915551469E01,1.79772028535616582295077966184953002898E02,,,7.59598468911591258923587547908410664799E00,125.5435604592,,4.66324833873006697058420907058688962501E01,"",2019-06-13,"126144","",2019-06-13,"126144"
