"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","MEASYEAR","FORFLTHK","LTRLRTHK","FORFLTHKN","LTRLRTHKN","FORFLTHKS","LTRLRTHKS","FORFLTHKE","LTRLRTHKE","FORFLTHKW","LTRLRTHKW","CONDID","VSTNBR","TXTRLYR1","TXTRLYR2","DPTHSBSL","SOILS_STATCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"76470588010538","59785584010538",2001,39,35,575,4,2001,1.2,1.2,0.8,0.8,1.6,1.6,1.2,1.2,1.2,1.2,1,1,,,9.1,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470592010538","59786192010538",2001,39,41,574,2,2001,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,2,20,1,"",2007-11-29,"10661","",,""
"76470593010538","59786192010538",2001,39,41,574,3,2001,0.3,0.3,0.8,0.8,0,0,0.4,0.4,0,0,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470594010538","59786192010538",2001,39,41,574,4,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470595010538","59787135010538",2001,39,53,778,2,2001,1.3,1.1,1.2,1.2,1.2,1.2,1.6,1.2,1.2,0.8,1,1,2,2,20,1,"",2007-11-29,"10661","",,""
"76470596010538","59787135010538",2001,39,53,778,3,2001,1.7,1.3,2,1.2,1.2,1.2,1.6,1.2,2,1.6,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470597010538","59787135010538",2001,39,53,778,4,2001,1.1,1.1,1.2,1.2,1.2,1.2,0.8,0.8,1.2,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470601010538","59788852010538",2001,39,61,506,2,2001,0.9,0.9,1.2,1.2,1.2,1.2,0.8,0.8,0.4,0.4,1,1,1,2,13,1,"",2007-11-29,"10661","",,""
"76470602010538","59788852010538",2001,39,61,506,3,2001,0.5,0.5,0.8,0.8,0.4,0.4,0,0,0.8,0.8,1,1,,,99.9,1,"",2007-11-29,"10661","",2009-03-18,"10661"
"76470603010538","59788852010538",2001,39,61,506,4,2001,0.2,0.2,0,0,0.4,0.4,0.4,0.4,0,0,1,1,,,11.8,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470604010538","59789167010538",2001,39,67,363,2,2001,2.3,1.2,2.4,0.8,2.8,1.6,1.6,1.2,2.4,1.2,1,1,1,3,99.9,1,"",2007-11-29,"10661","",2009-03-18,"10661"
