"CN","STATECD","INVYR","UNITCD","COUNTYCD","PLOT","LAT","LON","CONGCD","ECOSUBCD","HUC","EMAP_HEX","FIPSCOUNTY","ROADLESSCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","ALP_ADFORCD","FVS_VARIANT","FVS_LOC_CD","FVS_REGION","FVS_FOREST","FVS_DISTRICT"
"19101406010661",39,1991,1,1,211,38.69452,-83.55547,3902," 223Fd",5090201,5146,21135,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19101466010661",39,1991,1,1,212,38.7223,-83.66659,3902," 223Fd",5090201,5286,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101486010661",39,1991,1,1,213,38.80563,-83.49991,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101546010661",39,1991,1,1,215,38.63896,-83.63881,3902," 223Fd",5090201,5146,21135,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19101606010661",39,1991,1,1,216,38.75007,-83.49991,3902," 223Fd",5090201,5146,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101652010661",39,1991,1,1,217,38.86118,-83.3888,3902," 221Eg",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101713010661",39,1991,1,1,218,38.88896,-83.27769,3902," 221Eg",5060002,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101758010661",39,1991,1,1,219,39.00007,-83.30547,3902," 221Eg",5060002,5144,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101807010661",39,1991,1,1,220,38.66674,-83.41658,3902," 221Eg",5090201,5146,39001,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19101859010661",39,1991,1,1,221,38.66674,-83.33324,3902," 221Eg",5090201,5006,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19101909010661",39,1991,1,1,9600,38.825892,-83.4865,3902," 223Fd",5090201,5145,39001,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110617010661",39,1991,1,15,7,38.80563,-84.02771,3902," 223Fd",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110685010661",39,1991,1,15,15,38.8334,-83.94437,3902," 223Fd",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110723010661",39,1991,1,15,21,38.72229,-83.74992,3902," 223Fd",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110784010661",39,1991,1,15,22,38.80563,-84.02771,3902," 223Fd",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110791010661",39,1991,1,15,23,39.02784,-84.02771,3902," 222Hc",5090202,5427,39025,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110850010661",39,1991,1,15,29,38.94451,-83.9166,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110852010661",39,1991,1,15,34,38.91674,-83.69437,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110866010661",39,1991,1,15,35,39.11118,-83.97215,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110868010661",39,1991,1,15,36,38.94451,-84.02771,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110870010661",39,1991,1,15,37,38.77785,-84.02771,3902," 223Fd",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110872010661",39,1991,1,15,38,39.13895,-83.94437,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110874010661",39,1991,1,15,39,39.00007,-83.97215,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
