,plot_phase_2_plot_number,plot_state_code,plot_county_code,measurement_year,measurement_month,latitude,longitude,species_code,avg_height,avg_diameter,total_height,date,fips_code,nearest_station,mean_temp,mean_dwp,mean_prcp
12085,55,45,37,2000.0,6.0,33.740535736083984,-82.09910583496094,131,57.5,14.21500015258789,230.0,2000-06-01,45_37,722181,,,
12086,36,21,183,2000.0,10.0,37.436187744140625,-86.7997817993164,318,36.66666666666667,4.266666769981384,110.0,2000-10-01,21_183,724237,,,
12087,43,13,193,2000.0,5.0,32.29527282714844,-84.03910064697266,316,18.0,1.5125000178813934,72.0,2000-05-01,13_193,722170,,,
12088,16,1,101,2000.0,4.0,32.211875915527344,-86.3703842163086,316,27.5,4.75,55.0,2000-04-01,1_101,722260,,,
12089,39,45,17,2000.0,6.0,33.760337829589844,-80.67269134521484,611,26.5,3.566666603088379,159.0,2000-06-01,45_17,723105,,,
12090,18,45,79,2000.0,5.0,34.000953674316406,-80.89576721191406,131,58.666666666666664,8.633333365122477,176.0,2000-05-01,45_79,723105,,,
12091,25,22,73,2000.0,3.0,32.457576751708984,-92.11378479003906,611,60.5,16.949999809265137,121.0,2000-03-01,22_73,722486,,,
12092,12,13,117,2000.0,11.0,34.22414779663086,-84.08998107910156,491,19.666666666666668,1.8333333730697632,59.0,2000-11-01,13_117,722185,,,
12093,27,47,131,2000.0,5.0,36.38886260986328,-89.27053833007812,318,56.5,10.549999833106995,113.0,2000-05-01,47_131,723347,,,
12094,31,47,85,2000.0,2.0,36.00635528564453,-87.87255859375,491,36.0,4.199999809265137,36.0,2000-02-01,47_85,746710,,,
12095,94,1,91,2000.0,8.0,32.13030242919922,-87.68828582763672,318,27.0,2.5,27.0,2000-08-01,1_91,722276,,,
12096,15,1,121,2000.0,9.0,33.13710403442383,-86.44709014892578,611,44.0,6.599999904632568,44.0,2000-09-01,1_121,722300,,,
12097,34,1,121,2000.0,8.0,33.26824951171875,-86.3486328125,611,67.0,5.350000083446503,67.0,2000-08-01,1_121,722300,,,
12098,91,45,63,2000.0,2.0,34.12705993652344,-81.43095397949219,802,60.0,10.699999809265137,60.0,2000-02-01,45_63,723100,,,
12099,16,21,115,2000.0,9.0,37.758331298828125,-82.8177261352539,802,59.14285714285714,11.700000013623919,414.0,2000-09-01,21_115,724250,,,
12100,39,21,199,2000.0,2.0,37.134552001953125,-84.75753784179688,316,59.0,7.099999904632568,59.0,2000-02-01,21_199,724354,,,
12101,29,37,195,2000.0,8.0,35.72683334350586,-77.86124420166016,491,23.2,2.759999990463257,116.0,2000-08-01,37_195,723068,,,
12102,3,22,121,2000.0,4.0,30.489482879638672,-91.36090850830078,611,46.6,7.78000020980835,233.0,2000-04-01,22_121,722320,,,
12103,19,13,193,2000.0,5.0,32.319095611572266,-84.0855484008789,611,55.0,8.899999618530273,55.0,2000-05-01,13_193,722170,,,
12104,67,1,51,2000.0,7.0,32.73258972167969,-86.14543151855469,802,61.5,9.749999761581421,123.0,2000-07-01,1_51,722265,,,
12105,58,13,141,2000.0,7.0,33.41082763671875,-82.96748352050781,131,43.25,5.724999964237213,173.0,2000-07-01,13_141,723110,,,
12106,45,1,123,2000.0,3.0,32.916847229003906,-85.68248748779297,802,37.666666666666664,3.9333332379659014,113.0,2000-03-01,1_123,722284,,,
12107,32,13,223,2000.0,9.0,33.83231735229492,-84.9331283569336,802,46.0,5.7750000059604645,184.0,2000-09-01,13_223,722195,,,
12108,24,47,65,2000.0,9.0,35.26064682006836,-85.04664611816406,802,94.0,19.90000057220459,188.0,2000-09-01,47_65,723240,,,
12109,24,47,173,2000.0,2.0,36.24230194091797,-83.8560562133789,491,36.5,4.900000095367432,73.0,2000-02-01,47_173,723246,,,
12110,36,21,135,2000.0,3.0,38.46428298950195,-83.29864501953125,316,59.6,9.739999794960022,298.0,2000-03-01,21_135,724250,,,
12111,15,51,89,2000.0,8.0,36.56592559814453,-79.92503356933594,802,60.85714285714286,9.171428442001343,426.0,2000-08-01,51_89,745985,,,
12112,15,51,25,2000.0,12.0,36.890899658203125,-77.88601684570312,316,16.0,1.2000000476837158,16.0,2000-12-01,51_25,724118,,,
12113,71,37,87,2000.0,10.0,35.550559997558594,-83.07840728759766,802,73.0,19.200000762939453,73.0,2000-10-01,37_87,723150,,,
12114,32,22,27,2000.0,6.0,32.849884033203125,-92.93927764892578,611,49.166666666666664,6.709999958674112,295.0,2000-06-01,22_27,723419,,,
12115,4,21,63,2000.0,2.0,38.044410705566406,-83.02850341796875,318,62.0,7.400000095367432,62.0,2000-02-01,21_63,724250,,,
12116,57,1,43,2000.0,9.0,33.98091125488281,-87.03531646728516,802,86.0,15.725000500679016,344.0,2000-09-01,1_43,722280,,,
12117,116,1,79,2000.0,8.0,34.358436584472656,-87.4433364868164,491,25.0,2.299999952316284,25.0,2000-08-01,1_79,723235,,,
12118,9,1,55,2000.0,9.0,34.008792877197266,-86.1293716430664,316,44.0,5.800000190734863,88.0,2000-09-01,1_55,722285,,,
12119,16,1,123,2000.0,10.0,32.962772369384766,-85.72380828857422,316,81.0,21.366666793823242,243.0,2000-10-01,1_123,722284,,,
